"country_id","bank_code","swift","bank_name"
"ES",1457,"LLISESM1XXX","DE LAGE LANDEN INTERNATIONAL B.V., S.E."
"ES",1459,"PRABESMMXXX","COOPERATIEVE CENTRALE RAIFFEISEN- BOERENLEENBANK B.A. (RABOB"
"ES",1460,"CRESESMMXXX","CREDIT SUISSE AG, SUCURSAL EN ESPAÑA"
"ES",1462,"ASSCESM1XXX","ASSOCIATES CAPITAL CORPORATION, PLC. S.E."
"ES",1463,"PSABESM1XXX","BANQUE PSA FINANCE, S.E."
"ES",1464,"NFFSESM1XXX","NEWCOURT FINANCE (FRANCE) S.N.C., S.E."
"ES",1465,"INGDESMMXXX","ING DIRECT, N.V., SUCURSAL EN ESPAÑA"
"ES",1466,"FRANESM1XXX","FRANFINANCE, S.E."
"ES",1467,"EHYPESMXXXX","HYPOTHEKENBANK FRANKFURT AG. SUCURSAL EN ESPAÑA"
"ES",1469,"SHSAESM1XXX","BANCO SYGMA HISPANIA, S.E."
"ES",1470,"BPIPESM1XXX","BANCO PORTUGUES DE INVESTIMENTO, S.A. S.E."
"ES",1472,"UCSSESM1XXX","CREDIT AGRICOLE LEASING & FACTORING, S.E."
"ES",1473,"PRIBESMXXXX","BANQUE PRIVEE EDMOND DE ROTHSCHILD EUROPE, S.E"
"ES",1474,"CITIESMXSEC","CITIBANK INTERNATIONAL PLC, SUCURSAL EN ESPAÑA"
"ES",1475,"CCSEESM1XXX","CORTAL CONSORS, S.E."
"ES",1478,"MLIBESM1XXX","MERRILL LYNCH INTERNATIONAL BANK LTD., S.E."
"ES",1479,"NATXESMMXXX","NATIXIS, S.A., SUCURSAL EN ESPAÑA"
"ES",1480,"VOWAES21XXX","VOLKSWAGEN BANK GMBH, S.E."
"ES",1485,"BOFAES2XXXX","BANK OF AMERICA, NATIONAL ASSOCIATION, S.E."
"ES",1488,"PICTESMMXXX","PICTET & CIE (EUROPE), S.A., S.E."
"ES",1490,"SELFESMMXXX","SELF TRADE BANK, S.A."
"ES",1491,"TRIOESMMXXX","TRIODOS BANK, N.V., S.E."
"ES",1494,"BCITESMMXXX","INTESA SANPAOLO S.P.A., S.E."
"ES",1497,"ESSIESMMXXX","BANCO ESPIRITO SANTO DE INVESTIMENTO, S.A., SUCURSAL EN ESPA"
"ES",1501,"DPBBESM1XXX","DEUTSCHE PFANDBRIEFBANK AG, S.E."
"ES",1502,"IKBDESM1XXX","IKB DEUTSCHE INDUSTRIEBANK AG, S.E."
"ES",1505,"ARABESMMXXX","EUROPE ARAB BANK PLC, S.E."
"ES",1506,"MLCBESM1XXX","MERRILL LYNCH INTERNATIONAL BANK LTD., S.E."
"ES",1522,"EFGBESMMXXX","EFG BANK (LUXEMBOURG) S.A., S.E."
"ES",1524,"UBIBESMMXXX","UBI BANCA INTERNATIONAL, S.A., SUCURSAL EN ESPAÑA"
"ES",1525,"BCDMESMMXXX","BANQUE CHAABI DU MAROC, S.E."
"ES",1534,"KBLXESMMXXX","KBL EUROPEAN PRIVATE BANKERS, S.A. S.E."
"ES",1538,"ICBKESMMXXX","INDUSTRIAL & COMMERCIAL BANK OF CHINA(EUROPE)SA,SE"
"ES",1544,"BACAESMMXXX","ANDBANK ESPAÑA, S.A."
"ES",1545,"AGRIESMMXXX","CREDIT AGRICOLE LUXEMBOURG, S.E."
"ES",2000,"CECAESMMXXX","CECABANK, S.A."
"ES",2010,"CECAESMM010","M.P. Y CAJA GENERAL AHORROS DE BADAJOZ"
"ES",2013,"CESCESBBXXX","CATALUNYA BANC, S.A."
"ES",2017,"CECAESMM017","C.A.M.P. CIRCULO CATOLICO DE OBREROS DE BURGOS"
"ES",2018,"CECAESMM018","CAJA DE AHORROS MUNICIPAL DE BURGOS"
"ES",2031,"CECAESMM031","CAJA GENERAL DE AHORROS DE GRANADA"
"ES",2037,"CECAESMM037","CAJA DE AHORROS DE LA RIOJA"
"ES",2038,"CAHMESMMXXX","BANKIA, S.A."
"ES",2043,"CECAESMM043","CAJA DE AHORROS DE MURCIA"
"ES",2045,"CECAESMM045","CAJA DE AHORROS Y M.P. DE ONTINYENT"
"ES",2048,"CECAESMM048","LIBERBANK, S.A."
"ES",2051,"CECAESMM051","CAJA DE AHORROS Y M.P. DE LAS BALEARES"
"ES",2052,"CECAESMM052","CAJA INSULAR DE AHORROS DE CANARIAS"
"ES",2056,"CECAESMM056","COLONYA - CAIXA D'ESTALVIS DE POLLENSA"
"ES",2065,"CECAESMM065","CAJA GENERAL DE AHORROS DE CANARIAS"
"ES",2066,"CECAESMM066","CAJA DE AHORROS DE SANTANDER Y CANTABRIA"
"ES",2080,"CAGLESMMVIG","NCG BANCO, S.A."
"ES",2081,"CECAESMM081","CAIXA D'ESTALVIS DEL PENEDES"
"ES",2085,"CAZRES2ZXXX","IBERCAJA BANCO S.A."
"ES",2086,"CECAESMM086","BANCO GRUPO CAJATRES, S.A."
"ES",2095,"BASKES2BXXX","KUTXABANK, S.A."
"ES",2096,"CSPAES2LXXX","CAJA ESPAÑA DE INVERSIONES, CAJA DE AHORROS Y M.P."
"ES",2097,"CECAESMM097","CAJA DE AHORROS DE VITORIA Y ALAVA"
"ES",2099,"CECAESMM099","CAJA DE AHORROS Y M.P. DE EXTREMADURA"
"ES",2100,"CAIXESBBXXX","CAIXABANK, S.A."
"ES",2101,"CGGKES22XXX","CAJA DE AHORROS Y M.P. DE GIPUZKOA Y SAN SEBASTIAN"
"ES",2103,"UCJAES2MXXX","UNICAJA BANCO, S.A."
"ES",2104,"CSSOES2SXXX","CAJA DE AHORROS DE SALAMANCA Y SORIA"
"ES",2105,"CECAESMM105","BANCO DE CASTILLA-LA MANCHA, S.A. /CAJA DE AHORROS DE CASTILLA-LA MANCHA"
"ES",2107,"BBVAESMM107","UNNIM BANC, S.A"
"ES",2108,"CSPAES2L108","BANCO DE CAJA ESPAÑA DE INVERSIONES, SALAMANCA Y SORIA, S.A."
"ES",3001,"BCOEESMM001","CAJA R. DE ALMENDRALEJO, S.C.C."
"ES",3005,"BCOEESMM005","CAJA R. CENTRAL, S.C.C."
"ES",3007,"BCOEESMM007","CAJA R. DE GIJON, C.C"
"ES",3008,"BCOEESMM008","CAJA R. DE NAVARRA, S.C.C."
"ES",3009,"BCOEESMM009","CAJA R. DE EXTREMADURA, S.C.C."
"ES",3016,"BCOEESMM016","CAJA R. DE SALAMANCA, S.C.C."
"ES",3017,"BCOEESMM017","CAJA R. DE SORIA, S.C.C."
"ES",3018,"BCOEESMM018","CAJA R.R.S.AGUSTIN DE FUENTE ALAMO M., S.C.C."
"ES",3020,"BCOEESMM020","CAJA R. DE UTRERA, S.C.A.C."
"ES",3023,"BCOEESMM023","CAJA R. DE GRANADA, S.C.C."
"ES",3025,"CDENESBBXXX","CAIXA DE CREDIT DELS ENGINYERS - CAJA CREDITO INGENIEROS"
"ES",3029,"CCRIES2A029","CAJA DE CREDITO DE PETREL, CAJA RURAL, C.C.V."
"ES",3035,"CLPEES2MXXX","CAJA LABORAL POPULAR, C.C."
"ES",3045,"CCRIES2A045","CAIXA R. ALTEA, C.C.V."
"ES",3058,"CCRIES2AXXX","CAJAS RURALES UNIDAS, S.C.C."
"ES",3059,"BCOEESMM059","CAJA R. DE ASTURIAS, S.C.C."
"ES",3060,"BCOEESMM060","C.R. BURGOS,FUENTEPELAYO,SEGOVIA Y CASTELLDANS,SCC"
"ES",3063,"BCOEESMM063","CAJA R. DE CORDOBA, S.C.C."
"ES",3067,"BCOEESMM067","CAJA R. DE JAEN, BARCELONA Y MADRID, S.C.C."
"ES",3070,"BCOEESMM070","CAIXA R. GALEGA, S.C.C.L.G."
"ES",3076,"BCOEESMM076","CAJASIETE, CAJA RURAL, S.C.C."
"ES",3080,"BCOEESMM080","CAJA R. DE TERUEL, S.C.C."
"ES",3081,"BCOEESMM081","CAJA RURAL DE CASTILLA-LA MANCHA, S.C.C."
"ES",3084,"CVRVES2BXXX","IPAR KUTXA RURAL, S.C.C."
"ES",3085,"BCOEESMM085","CAJA R. DE ZAMORA, C.C."
"ES",3089,"BCOEESMM089","CAJA R. BAENA NTRA. SRA. GUADALUPE S.C.C.A."
"ES",3095,"CCRIES2A095","CAJA R. S. ROQUE DE ALMENARA S.C.C.V."
"ES",3096,"BCOEESMM096","CAIXA R. DE L'ALCUDIA, S.C.V.C."
"ES",3098,"BCOEESMM098","CAJA R. NTRA. SRA. DEL ROSARIO, S.C.A.C."
"ES",3102,"BCOEESMM102","CAIXA R. S. VICENT FERRER DE LA VALL D'UIXO,C.C.V."
"ES",3104,"BCOEESMM104","CAJA R. DE CAÑETE TORRES NTRA.SRA.DEL CAMPO,S.C.A."
"ES",3105,"CCRIES2A105","CAIXA R. DE CALLOSA D'EN SARRIA, C.C.V."
"ES",3110,"BCOEESMM110","CAJA R. CATOLICO AGRARIA, S.C.C.V."
"ES",3111,"BCOEESMM111","CAIXA R. LA VALL 'S. ISIDRO', S.C.C.V."
"ES",3112,"CCRIES2A112","CAJA R. S. JOSE DE BURRIANA, S.C.C.V."
"ES",3113,"BCOEESMM113","CAJA R. S. JOSE DE ALCORA S.C.C.V."
"ES",3115,"BCOEESMM115","CAJA R. 'NUESTRA MADRE DEL SOL', S.C.A.C."
"ES",3116,"BCOEESMM116","CAJA R. COMARCAL DE MOTA DEL CUERVO, S.C.L.C.A."
"ES",3117,"BCOEESMM117","CAIXA R. D'ALGEMESI, S.C.V.C."
"ES",3118,"CCRIES2A118","CAIXA RURAL TORRENT C.C.V."
"ES",3119,"CCRIES2A119","CAJA R. S. JAIME ALQUERIAS NIÑO PERDIDO S.C.C.V."
"ES",3121,"CCRIES2A121","CAJA R. DE CHESTE, S.C.C."
"ES",3123,"CCRIES2A123","CAIXA R. DE TURIS, C.C.V."
"ES",3127,"BCOEESMM127","CAJA R. DE CASAS IBAÑEZ, S.C.C.CASTILLA-LA MANCHA"
"ES",3130,"BCOEESMM130","CAJA R. S. JOSE DE ALMASSORA, S.C.C.V."
"ES",3134,"BCOEESMM134","CAJA R. NTRA. SRA. LA ESPERANZA DE ONDA, S.C.C.V."
"ES",3135,"CCRIES2A135","CAJA R. S. JOSE DE NULES S.C.C.V."
"ES",3137,"CCRIES2A137","CAJA R. DE CASINOS S.C.C.V."
"ES",3138,"BCOEESMM138","CAJA R. DE BETXI, S.C.C.V."
"ES",3140,"BCOEESMM140","CAJA R. DE GUISSONA, S.C.C."
"ES",3144,"BCOEESMM144","CAJA R. DE VILLAMALEA, S.C.C.A. CASTILLA-LA MANCHA"
"ES",3146,"CCCVESM1XXX","CAJA DE CREDITO COOPERATIVO, S.C.C."
"ES",3150,"BCOEESMM150","CAJA R. DE ALBAL, C.C.V."
"ES",3152,"CCRIES2A152","CAJA R. DE VILLAR C.C.V."
"ES",3157,"CCRIES2A157","CAJA R. LA JUNQUERA DE CHILCHES, S.C.C.V."
"ES",3159,"BCOEESMM159","CAIXA POPULAR-CAIXA RURAL, S.C.C.V."
"ES",3160,"CCRIES2A160","CAIXA R.S.JOSEP DE VILAVELLA, S.C.C.V."
"ES",3162,"BCOEESMM162","CAIXA R. BENICARLO, S.C.C.V."
"ES",3165,"CCRIES2A165","CAJA R. S. ISIDRO DE VILAFAMES, S.C.C.V."
"ES",3166,"BCOEESMM166","CAIXA RURAL LES COVES DE VINROMA, S.C.C.V."
"ES",3171,"CXAVESB1XXX","CAIXA DELS ADVOCATS-CAJA DE LOS ABOGADOS, S.C.C."
"ES",3172,"CCOCESMMXXX","CAJA CAMINOS, S.C.C."
"ES",3174,"BCOEESMM174","CAIXA R. VINAROS, S.C.C.V."
"ES",3177,"BCOEESMM177","CAJA R. DE CANARIAS, S.C.C."
"ES",3179,"CCRIES2A179","CAJA R. DE ALGINET, S.C.C.V."
"ES",3183,"CASDESBBXXX","CAJA DE ARQUITECTOS S.C.C."
"ES",3186,"CCRIES2A186","CAIXA R. ALBALAT DELS SORELLS, C.C.V."
"ES",3187,"BCOEESMM187","CAJA R. DEL SUR, S. COOP. DE CREDITO"
"ES",3188,"CCRIES2A188","CREDIT VALENCIA, C.R.C.C.V."
"ES",3190,"BCOEESMM190","C.R. DE ALBACETE, CIUDAD REAL Y CUENCA, S.C.C."
"ES",3191,"BCOEESMM191","NUEVA CAJA RURAL DE ARAGON SOC. COOP. DE CREDITO"
"ES",3501,"RENTESMMXXX","RENTA 4 SOCIEDAD DE VALORES, S.A."
"ES",3524,"AHCFESMMXXX","AHORRO CORPORACION FINANCIERA, S.A., SOCIEDAD DE VALORES"
"ES",3563,"MISVESMMXXX","MAPFRE INVERSION, SOCIEDAD DE VALORES, S.A."
